date,log_return
1993-02-12,-0.0069040378
1993-02-16,-0.0242928383
1993-02-17,-0.0014068472
1993-02-18,-0.0032362347
1993-02-19,0.0053572551
1993-02-22,0.0023462597
1993-02-23,-0.0010114535
1993-02-24,0.0138639092
1993-02-25,0.0033287725
1993-02-26,0.0023483923
1993-03-01,-0.0030946728
1993-03-02,0.0132374512
1993-03-03,0.0030318269
1993-03-04,-0.0042828828
1993-03-05,-0.0027533982
1993-03-08,0.0190943088
1993-03-09,-0.0006819803
1993-03-10,0.0042383486
1993-03-11,-0.0057359322
1993-03-12,-0.0086105666
1993-03-15,0.0035506021
1993-03-16,-0.0001329144
1993-03-17,-0.0068024395
1993-03-18,0.0079538678
1993-03-19,-0.0037913333
1993-03-22,-0.0028918842
1993-03-23,-0.0002673569
1993-03-24,-0.0015387589
1993-03-25,0.0062517530
1993-03-26,-0.0068992019
1993-03-29,0.0066551696
1993-03-30,0.0026586014
1993-03-31,-0.0006639542
1993-04-01,-0.0030378542
1993-04-02,-0.0199851286
1993-04-05,0.0020369233
1993-04-06,-0.0025581651
1993-04-07,0.0035524985
1993-04-08,-0.0020123109
1993-04-12,0.0146709562
1993-04-13,0.0018939747
1993-04-14,-0.0012473774
1993-04-15,-0.0005796932
1993-04-16,0.0012035764
1993-04-19,-0.0033021248
1993-04-20,-0.0052881394
1993-04-21,-0.0033080970
1993-04-22,-0.0094442117
1993-04-23,-0.0055448412
1993-04-26,-0.0080177560
1993-04-27,0.0102576796
1993-04-28,0.0000227829
1993-04-29,0.0019842992
1993-04-30,0.0029576119
1993-05-03,0.0051435881
1993-05-04,0.0035870956
1993-05-05,0.0010578824
1993-05-06,-0.0028384962
1993-05-07,-0.0021455392
1993-05-10,0.0011071851
1993-05-11,0.0035168385
1993-05-12,0.0009897037
1993-05-13,-0.0126014966
1993-05-14,0.0007510021
1993-05-17,0.0018410505
1993-05-18,-0.0001135196
1993-05-19,0.0163312145
1993-05-20,0.0067248606
1993-05-21,-0.0105976919
1993-05-24,0.0048330974
1993-05-25,0.0018955374
1993-05-26,0.0101741921
1993-05-27,-0.0022741055
1993-05-28,-0.0049191351
1993-06-01,0.0080529277
1993-06-02,0.0000441114
1993-06-03,-0.0030011186
1993-06-04,-0.0053847401
1993-06-07,-0.0052798677
1993-06-08,-0.0066786689
1993-06-09,0.0024031889
1993-06-10,-0.0008976927
1993-06-11,0.0042122415
1993-06-14,0.0010055795
1993-06-15,-0.0032215569
1993-06-16,0.0025959591
1993-06-17,0.0024777982
1993-06-18,-0.0108943174
1993-06-21,0.0057085413
1993-06-22,-0.0006501341
1993-06-23,-0.0061633951
1993-06-24,0.0077095328
1993-06-25,0.0021918798
1993-06-28,0.0094502898
